question,topic,knowledge_topic,relevant_doc_ids
Rajya Sabha has been transformed from a 'useless stepney tyre' to the most useful supporting organ in past few decades. Highlight the factors as well as the areas in which this transformation could be visible.,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2020_UnionAnd_7;NOTE_007;NOTE_005;ART_243A;GS2_2021_EffectOf_4
"""Once a speaker, Always a speaker'! Do you think the practice should be adopted to impart objectivity to the office of the Speaker of Lok Sabha? What could be its implications for the robust functioning of parliamentary business in India.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2020_UnionAnd_8;NOTE_008;ART_180;ART_95;ART_179
"""There is a need for simplification of procedure for disqualification of persons found guilty of corrupt practices under the Representation of peoples Act"" Comment","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2020_UnionAnd_9;GS2_2019_UnionAnd_11;GS2_2022_UnionAnd_1;ART_243ZQ;GS2_2022_UnionAnd_2
"Individual Parliamentarian's role as the national lawmaker is on a decline, which in turn, has adversely impacted the quality of debates and their outcome. Discuss.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2019_UnionAnd_10;GS2_2013_UnionAnd_19;NOTE_005;GS2_2018_UnionAnd_12;GS2_2022_AppointmentTo_1
"On what grounds a people's representative can be disqualified under the Representation of People Act, 1951? Also mention the remedies available to such person against his disqualification.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2019_UnionAnd_11;GS2_2022_UnionAnd_1;GS2_2020_UnionAnd_9;ART_243V;ART_243F
"Why do you think the committees are considered to be useful for parliamentary work? Discuss, in this context, the role or the Estimates Committee.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2018_UnionAnd_12;GS2_2021_UnionAnd_6;ART_203;ART_113;NOTE_005
"In the light of recent controversy regarding the use of Electronic Voting Machines (EVM), what are the challenges before the Election Commission of India to ensure the trustworthiness of elections in India?","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Election Commission,GS2_2018_UnionAnd_13;GS2_2022_UnionAnd_3;NOTE_019;GS2_2018_Functions_4;GS2_2020_Functions_2
'Simultaneous election to the Lok Sabha and the State Assemblies will limit the amount of time and money spent in electioneering but it will reduce the government's accountability to the people' Discuss.,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2017_UnionAnd_14;NOTE_006;ART_326;ART_170;NOTE_004
To enhance the quality of democracy in India the Election Commission of India has proposed electoral reforms in 2016. What are the suggested reforms and how far are they significant to make democracy successful?,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Election Commission,GS2_2017_UnionAnd_15;NOTE_019;GS2_2018_UnionAnd_13;GS2_2022_UnionAnd_3;GS2_2016_DevelopmentProcesses_10
"The Indian Constitution has provisions for holding joint session of the two houses of the Parliament. Enumerate the occasions when this would normally happen and also the occasions when it cannot, with reasons thereof.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2017_UnionAnd_16;ART_118;ART_87;ART_108;ART_100
"The Indian party system is passing through a phase of transition which looks to be full of contradictions and paradoxes."" Discuss.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2016_UnionAnd_17;GS2_2018_GovernmentPolicies_3;GS2_2022_UnionAnd_2;GS2_2020_HistoricalUnderpinnings_8;GS2_2018_HistoricalUnderpinnings_11
"The 'Powers, Privileges and Immunities of Parliament and its Members' as envisaged in Article 105 of the Constitution leave room for a large number of un-codified and un-enumerated privileges to continue. Assess the reasons for the absence of legal codification of the 'parliamentary privileges. How can this problem be addressed?","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2014_UnionAnd_18;ART_105;ART_194;ART_122;ART_251
"The role of individual MPs (Members of Parliament) has diminished over the years and as a result healthy constructive debates on policy issues are not usually witnessed. How far can this be attributed to the anti-defection law, which was legislated but with a different intention?","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2013_UnionAnd_19;GS2_2019_UnionAnd_10;ART_100;NOTE_005;GS2_2014_UnionAnd_18
Discuss the role of the National Commission for Backward Classes in the wake of its transformation from a statutory body to a constitutional body.,"APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2022_AppointmentTo_1;ART_340;GS2_2014_AppointmentTo_14;GS2_2013_AppointmentTo_16;GS2_2017_AppointmentTo_9
"The jurisdiction of the Central Bureau of Investigation (CBI) regarding lodging FIR and conducting probe within a particular state is being questioned by various States. However, the power of States to withhold consent to the CBI is not absolute. Explain with special reference to the federal character of India.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2021_AppointmentTo_2;GS2_2019_AppointmentTo_5;GS2_2016_AppointmentTo_10;ART_131;ART_260
"Though the Human Rights Commissions have contributed immensely to the protection of human rights in India, yet they have failed to assert themselves against the mighty and powerful. Analyzing their structural and practical limitations, suggest remedial measures.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2021_AppointmentTo_3;GS2_2014_AppointmentTo_14;GS2_2018_WelfareSchemes_9;GS2_2015_HistoricalUnderpinnings_16;ART_29
How have the recommendations of the 14th Finance Commission of India enabled the states to improve their fiscal position?,"APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Finance Commission,GS2_2021_AppointmentTo_4;GS2_2013_AppointmentTo_16;ART_243Y;ART_280;ART_243I
"""The Central Administration Tribunal which was established for redressal of grievances and complaints by or against central government employees, nowadays is exercising its powers as an independent judicial authority."" Explain","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Judiciary,GS2_2019_AppointmentTo_5;ART_323A;ART_350;ART_323B;GS2_2021_AppointmentTo_2
"""The Attorney-General is the chief legal adviser and lawyer of the Government of India."" Discuss.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2019_AppointmentTo_6;ART_76;ART_88;NOTE_021;ART_148
"""The Comptroller and Auditor General (CAG) has a very vital role to play."" Explain how this is reflected in the method and terms of his appointment as well as the range of powers he can exercise.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",CAG,GS2_2018_AppointmentTo_7;NOTE_020;ART_149;ART_148;ART_151
"How far do you agree with the view that tribunals curtail the jurisdiction of ordinary courts? In view of the above, discuss the constitutional validity and competency of the tribunals in India.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2018_AppointmentTo_8;ART_323B;ART_323A;ART_227;ART_374
Is the National Commission for Women able to strategize and tackle the problems that women face at both public and private spheres? Give reasons in support of your answer.,"APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2017_AppointmentTo_9;GS2_2020_HistoricalUnderpinnings_7;GS2_2018_WelfareSchemes_8;GS2_2014_AppointmentTo_14;GS2_2021_WelfareSchemes_3
Exercise of CAC's powers in relation to the accounts of the Union and the States is derived from Article 149 of the Indian Constitution. Discuss whether audit of the Government's Policy implementation could amount to overstepping its own (CAG) jurisdiction.,"APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",CAG,GS2_2016_AppointmentTo_10;ART_149;ART_257;ART_150;ART_256
What is a quasi-judicial body? Explain with the help of concrete examples,"APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Judiciary,GS2_2016_AppointmentTo_11;GS2_2019_AppointmentTo_5;GS2_2015_AppointmentTo_13;GS2_2021_AppointmentTo_2;GS2_2022_AppointmentTo_1
"What are the major changes brought in the Arbitration and Conciliation Act, 1996 through the recent Ordinance promulgated by the President? How far will it improve India's dispute resolution mechanism? Discuss.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",President,GS2_2015_AppointmentTo_12;ART_123;ART_239B;ART_372;ART_213
"""For achieving the desired objectives, it is necessary to ensure that the regulatory institutions remain independent and autonomous."" Discuss in the light of the experiences in recent past.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2015_AppointmentTo_13;NOTE_013;ART_244A;ART_243ZI;GS2_2016_ImportantInternational_11
National Human Rights Commission (NHRC) in India can be most effective when its tasks are adequately supported by other mechanisms that ensure the accountability of a government. In light of the above observation assess the role of NHRC as an effective complement to the judiciary and other institutions in promoting and protecting human rights standards.,"APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Judiciary,GS2_2014_AppointmentTo_14;GS2_2021_AppointmentTo_3;GS2_2021_UnionAnd_4;GS2_2015_DevelopmentProcesses_12;ART_51A
"The setting up of a Rail Tariff Authority to regulate fares will subject the cash strapped Indian Railways to demand subsidy for obligation to operate non-profitable routes and services. Taking into account the experience in the power sector, discuss if the proposed reform is expected to benefit the consumers, the Indian Railways or the private container operators.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2014_AppointmentTo_15;ART_110;ART_199;ART_312;ART_363
Discuss the recommendations of the 13th Finance Commission which have been a departure from the previous commissions for strengthening the local government finances.,"APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Finance Commission,GS2_2013_AppointmentTo_16;GS2_2021_AppointmentTo_4;ART_281;ART_243Y;ART_243I
"The product diversification of financial institutions and insurance companies, resulting in overlapping of products and services strengthens the case for the merger of the two regulatory agencies, namely SEBI and IRDA. Justify.","APPOINTMENT TO VARIOUS CONSTITUTIONAL POSTS; CONSTITUTIONAL BODIES (POWERS, FUNCTIONS AND RESPONSIBILITIES); STATUTORY, REGULATORY AND QUASI-JUDICIAL BODIES.",Election Commission,GS2_2013_AppointmentTo_17;GS2_2013_ImportantInternational_18;GS2_2018_WelfareSchemes_9;GS2_2014_ImportantInternational_15;GS2_2020_HistoricalUnderpinnings_8
