doc_id,title,question,reference_answer,generated_answer,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,retrieval_hit,manual_score
GS2_2020_Functions_2,GS-II 2020 Q2,"The strength sustenance of local institutions in India has shifted from their formative phase of 'Functions, Functionaries and Funds' to the contemporary stage of 'Functionality'. Highlight the critical challenges faced by local institutions in terms of their functionality in recent times.",,,,,,,,,
GS2_2019_Functions_3,GS-II 2019 Q3,"""The reservation of seats for women in the institutions of local self- government has had a limited impact on the patriarchal character of the Indian Political Process."" Comment.",,,,,,,,,
GS2_2018_Functions_4,GS-II 2018 Q4,How is the Finance Commission of India constituted? What do you about the terms of reference of the recently constituted Finance Commission? Discuss.,,,,,,,,,
GS2_2018_Functions_5,GS-II 2018 Q5,"Assess the importance of Panchayat system in India as a part of local government. Apart from government grants, what sources the Panchayats can look out for financing developmental projects.",,,,,,,,,
GS2_2017_Functions_6,GS-II 2017 Q6,"""The local self-government system in India has not proved to be effective instrument of governance"". Critically examine the statement and give your views to improve the situation.",,,,,,,,,
GS2_2016_Functions_7,GS-II 2016 Q7,"Discuss the essentials of the 69th Constitutional Amendment Act and anomalies, if any that have led to recent reported conflicts between the elected representatives and the institution of the Lieutenant Governor in the administration of Delhi. Do you think that this will give rise to a new trend in the functioning of the Indian federal politics?",,,,,,,,,
GS2_2016_Functions_8,GS-II 2016 Q8,"To what extent is Article 370 of the Indian Constitution, bearing marginal note ""Temporary provision with respect to the State of Jammu and Kashmir"", temporary? Discuss the future prospects of this provision in the context of Indian polity.",,,,,,,,,
GS2_2016_Functions_9,GS-II 2016 Q9,"Did the Government of India Act, 1935 lay down a federal constitution? Discuss.",,,,,,,,,
GS2_2015_Functions_10,GS-II 2015 Q10,The concept of cooperative federalism has been increasingly emphasized in recent years. Highlight the drawbacks in the existing structure and the extent to which cooperative federalism would answer the shortcomings.,,,,,,,,,
GS2_2015_Functions_11,GS-II 2015 Q11,"In absence of a well-educated and organized local level government system, `Panchayats' and 'Samitis' have remained mainly political institutions and not effective instruments of governance. Critically discuss.",,,,,,,,,
GS2_2014_Functions_12,GS-II 2014 Q12,"Though the federal principle is dominant in our Constitution and that principle is one of its basic features, but it is equally true that federalism under the Indian Constitution leans in favour of a strong Centre, a feature that militates against the concept of strong federalism. Discuss.",,,,,,,,,
GS2_2013_Functions_13,GS-II 2013 Q13,Recent directives from Ministry of Petroleum and Natural Gas are perceived by the `Nagas' as a threat to override the exceptional status enjoyed by the State. Discuss in light of Article 371A of the Indian Constitution.,,,,,,,,,
GS2_2013_Functions_14,GS-II 2013 Q14,"Many State Governments further bifurcate geographical administrative areas like Districts and Talukas for better governance. In light of the above, can it also be justified that a greater number of smaller States would bring in effective governance at State level? Discuss.",,,,,,,,,
GS2_2013_Functions_15,GS-II 2013 Q15,Constitutional mechanisms to resolve the inter-state water disputes have failed to address and solve the problems. Is the failure due to structural or process inadequacy or both? Discuss.,,,,,,,,,
GS2_2022_AppointmentTo_1,GS-II 2022 Q1,Discuss the role of the National Commission for Backward Classes in the wake of its transformation from a statutory body to a constitutional body.,,,,,,,,,
GS2_2021_AppointmentTo_2,GS-II 2021 Q2,"The jurisdiction of the Central Bureau of Investigation (CBI) regarding lodging FIR and conducting probe within a particular state is being questioned by various States. However, the power of States to withhold consent to the CBI is not absolute. Explain with special reference to the federal character of India.",,,,,,,,,
GS2_2021_AppointmentTo_3,GS-II 2021 Q3,"Though the Human Rights Commissions have contributed immensely to the protection of human rights in India, yet they have failed to assert themselves against the mighty and powerful. Analyzing their structural and practical limitations, suggest remedial measures.",,,,,,,,,
GS2_2021_AppointmentTo_4,GS-II 2021 Q4,How have the recommendations of the 14th Finance Commission of India enabled the states to improve their fiscal position?,,,,,,,,,
GS2_2019_AppointmentTo_5,GS-II 2019 Q5,"""The Central Administration Tribunal which was established for redressal of grievances and complaints by or against central government employees, nowadays is exercising its powers as an independent judicial authority."" Explain",,,,,,,,,
GS2_2019_AppointmentTo_6,GS-II 2019 Q6,"""The Attorney-General is the chief legal adviser and lawyer of the Government of India."" Discuss.",,,,,,,,,
GS2_2018_AppointmentTo_7,GS-II 2018 Q7,"""The Comptroller and Auditor General (CAG) has a very vital role to play."" Explain how this is reflected in the method and terms of his appointment as well as the range of powers he can exercise.",,,,,,,,,
GS2_2018_AppointmentTo_8,GS-II 2018 Q8,"How far do you agree with the view that tribunals curtail the jurisdiction of ordinary courts? In view of the above, discuss the constitutional validity and competency of the tribunals in India.",,,,,,,,,
GS2_2017_AppointmentTo_9,GS-II 2017 Q9,Is the National Commission for Women able to strategize and tackle the problems that women face at both public and private spheres? Give reasons in support of your answer.,,,,,,,,,
GS2_2016_AppointmentTo_10,GS-II 2016 Q10,Exercise of CAC's powers in relation to the accounts of the Union and the States is derived from Article 149 of the Indian Constitution. Discuss whether audit of the Government's Policy implementation could amount to overstepping its own (CAG) jurisdiction.,,,,,,,,,
GS2_2016_AppointmentTo_11,GS-II 2016 Q11,What is a quasi-judicial body? Explain with the help of concrete examples,,,,,,,,,
GS2_2015_AppointmentTo_12,GS-II 2015 Q12,"What are the major changes brought in the Arbitration and Conciliation Act, 1996 through the recent Ordinance promulgated by the President? How far will it improve India's dispute resolution mechanism? Discuss.",,,,,,,,,
GS2_2015_AppointmentTo_13,GS-II 2015 Q13,"""For achieving the desired objectives, it is necessary to ensure that the regulatory institutions remain independent and autonomous."" Discuss in the light of the experiences in recent past.",,,,,,,,,
GS2_2014_AppointmentTo_14,GS-II 2014 Q14,National Human Rights Commission (NHRC) in India can be most effective when its tasks are adequately supported by other mechanisms that ensure the accountability of a government. In light of the above observation assess the role of NHRC as an effective complement to the judiciary and other institutions in promoting and protecting human rights standards.,,,,,,,,,
GS2_2014_AppointmentTo_15,GS-II 2014 Q15,"The setting up of a Rail Tariff Authority to regulate fares will subject the cash strapped Indian Railways to demand subsidy for obligation to operate non-profitable routes and services. Taking into account the experience in the power sector, discuss if the proposed reform is expected to benefit the consumers, the Indian Railways or the private container operators.",,,,,,,,,
GS2_2013_AppointmentTo_16,GS-II 2013 Q16,Discuss the recommendations of the 13th Finance Commission which have been a departure from the previous commissions for strengthening the local government finances.,,,,,,,,,
GS2_2013_AppointmentTo_17,GS-II 2013 Q17,"The product diversification of financial institutions and insurance companies, resulting in overlapping of products and services strengthens the case for the merger of the two regulatory agencies, namely SEBI and IRDA. Justify.",,,,,,,,,
GS2_2022_WelfareSchemes_1,GS-II 2022 Q1,"The Rights of Persons with Disabilities Act, 2016 remains only a legal document without intense sensitization of Government functionaries and citizens regarding disability. Comment.",,,,,,,,,
GS2_2022_WelfareSchemes_2,GS-II 2022 Q2,"Besides the welfare schemes, India needs deft management of inflation and unemployment to serve the poor and the underprivileged sections of the society. Discuss",,,,,,,,,
GS2_2021_WelfareSchemes_3,GS-II 2021 Q3,"""Though women in post-Independent India have excelled in various fields, the social attitude towards women and feminist movement has been patriarchal."" Apart from women education and women empowerment schemes, what interventions can help change this milieu?",,,,,,,,,
GS2_2019_WelfareSchemes_4,GS-II 2019 Q4,There is a growing divergence in the relationship between poverty and hunger in India. The shrinking of social expenditure by the government is forcing the poor to spend more on Non- Food essential items squeezing their food – budget. Elucidate.,,,,,,,,,
GS2_2019_WelfareSchemes_5,GS-II 2019 Q5,"'In the context of neo-liberal paradigm of development planning, multi-level planning is expected to make operations cost effective and remove many implementation blockages.'-Discuss.",,,,,,,,,
GS2_2019_WelfareSchemes_6,GS-II 2019 Q6,The need for cooperation among various service sector has been an inherent component of development discourse. Partnership bridges bring the gap among the sectors. It also sets in motion a culture of 'Collaboration' and 'team spirit'. In the light of statements above examine India's Development process.,,,,,,,,,
GS2_2019_WelfareSchemes_7,GS-II 2019 Q7,Performance of welfare schemes that are implemented for vulnerable sections is not so effective due to absence of their awareness and active involvement at all stages of policy process – Discuss.,,,,,,,,,
GS2_2018_WelfareSchemes_8,GS-II 2018 Q8,Whether National Commission for Scheduled Castes (NCSCJ) can enforce the implementation of 2018 constitutional reservation for the Scheduled Castes in the religious minority institutions? Examine.,,,,,,,,,
GS2_2018_WelfareSchemes_9,GS-II 2018 Q9,Multiplicity of various commissions for the vulnerable sections or the society leads to problems or overlapping jurisdiction and duplication of functions. Is it better to merge all commissions into an umbrella Human Rights Commission? Argue your case.,,,,,,,,,
GS2_2017_WelfareSchemes_10,GS-II 2017 Q10,"Does the Rights of Persons with Disabilities Act, 2016 ensure effective mechanism for empowerment and inclusion of the intended beneficiaries in the society? Discuss",,,,,,,,,
GS2_2014_WelfareSchemes_11,GS-II 2014 Q11,"Two parallel run schemes of the Government viz. the Aadhaar Card and NPR, one as voluntary and the other as compulsory, have led to debates at national levels and also litigations. On merits, discuss whether or not both schemes need run concurrently. Analyze the potential of the schemes to achieve developmental benefits and equitable growth.",,,,,,,,,
GS2_2014_WelfareSchemes_12,GS-II 2014 Q12,"Do government's schemes for up-lifting vulnerable and backward communities by protecting required social resources for them, lead to their exclusion in establishing businesses in urban economics?",,,,,,,,,
GS2_2013_WelfareSchemes_13,GS-II 2013 Q13,The basis of providing urban amenities in rural areas (PURA) is rooted in establishing connectivity. Comment.,,,,,,,,,
GS2_2013_WelfareSchemes_14,GS-II 2013 Q14,"Electronic cash transfer system for the welfare schemes is an ambitious project to minimize corruption, eliminate wastage and facilitate reforms. Comment.",,,,,,,,,
GS2_2021_SocialSector_1,GS-II 2021 Q1,"The Right of Children to Free and Compulsory Education Act, 2009 remains inadequate in promoting incentive-based system for children's education without generating awareness about the importance of schooling. Analyse",,,,,,,,,
GS2_2021_SocialSector_2,GS-II 2021 Q2,"""Besides being a moral imperative of Welfare State, primary health structure is a necessary pre- condition for sustainable development."" Analyze.",,,,,,,,,
GS2_2021_SocialSector_3,GS-II 2021 Q3,"""'Earn while you learn' scheme needs to be strengthened to make vocational education and skill training meaningful."" Comment.",,,,,,,,,
GS2_2020_SocialSector_4,GS-II 2020 Q4,"Has digital illiteracy, particularly in rural areas, couple with lack of Information and Communication Technology (ICT) accessibility hindered socio-economic development? Examine with justification.",,,,,,,,,
GS2_2020_SocialSector_5,GS-II 2020 Q5,National Education Policy 2020 is in conformity with the Sustainable Development Goal-4 (2030). It intends to restructure and reorient education system in India. Critically examine the statement.,,,,,,,,,
GS2_2019_SocialSector_6,GS-II 2019 Q6,"In order to enhance the prospects of social development, sound and adequate health care policies are needed particularly in the fields of geriatric and maternal health care. Discuss.",,,,,,,,,
GS2_2018_SocialSector_7,GS-II 2018 Q7,"Despite Consistent experience of High growth, India still goes with the lowest indicators of human development. Examine the issues that make balanced and inclusive development elusive.",,,,,,,,,
GS2_2017_SocialSector_8,GS-II 2017 Q8,Appropriate local community-level healthcare intervention is a prerequisite to achieve 'Health for All' in India. Explain,,,,,,,,,
GS2_2016_SocialSector_9,GS-II 2016 Q9,"'To ensure effective implementation of policies addressing water, sanitation and hygiene needs, the identification of beneficiary segments is to be synchronized with the anticipated outcomes' Examine the statement in the context of the WASH scheme.",,,,,,,,,
GS2_2016_SocialSector_10,GS-II 2016 Q10,Examine the main provisions of the National Child Policy and throw light on the status of its implementation.,,,,,,,,,
GS2_2016_SocialSector_11,GS-II 2016 Q11,"""Demographic Dividend in India will remain only theoretical unless our manpower becomes more educated, aware, skilled and creative."" What measures have been taken by the government to enhance the capacity of our population to be more productive and employable?",,,,,,,,,
GS2_2015_SocialSector_12,GS-II 2015 Q12,Professor Amartya Sen has advocated important reforms in the realms of primary education and primary health care. What are your suggestions to improve their status and performance?,,,,,,,,,
GS2_2015_SocialSector_13,GS-II 2015 Q13,The quality of higher education in India requires major improvements to make it internationally competitive. Do you think that the entry of foreign educational institutions would help improve the quality of higher and technical education in the country? Discuss.,,,,,,,,,
GS2_2014_SocialSector_14,GS-II 2014 Q14,Public health system has limitations in providing universal health coverage. Do you think that the private sector could help in bridging the gap? What other viable alternatives would you suggest?,,,,,,,,,
GS2_2014_SocialSector_15,GS-II 2014 Q15,"An athlete participates in Olympics for personal triumph and nation's glory; victors are showered with cash incentives by various agencies, on their return. Discuss the merit of state sponsored talent hunt and its cultivation as against the rationale of a reward mechanism as encouragement.",,,,,,,,,
GS2_2013_SocialSector_16,GS-II 2013 Q16,"Should the premier institutes like IITs/IIMs be allowed to retain premier status, allowed more academic independence in designing courses and also decide mode/criteria of selection of students. Discuss in light of the growing challenges.",,,,,,,,,
GS2_2013_SocialSector_17,GS-II 2013 Q17,"The concept of Mid-Day Meal (MDM) scheme is almost a century old in India with early beginnings in Madras Presidency in pre-independent India. The scheme has again been given impetus in most states in the last two decades. Critically examine its twin objectives, latest mandates and success.",,,,,,,,,
GS2_2022_GovernmentPolicies_1,GS-II 2022 Q1,The Gati-Shakti Yojana needs meticulous coordination between the government and the private sector to achieve the goal of connectivity. Discuss.,,,,,,,,,
GS2_2022_GovernmentPolicies_2,GS-II 2022 Q2,"Reforming the government delivery system through the Direct Benefit Transfer Scheme is a progressive step, but it has limitations too. Comment.",,,,,,,,,
GS2_2018_GovernmentPolicies_3,GS-II 2018 Q3,"""Policy contradictions among various competing sectors and stakeholders have resulted in inadequate 'protection and prevention of degradation' to environment."" Comment with relevant illustration.",,,,,,,,,
GS2_2017_GovernmentPolicies_4,GS-II 2017 Q4,"Explain the salient features of the constitution (One Hundred and First Amendment) Act, 2016. Do you think it is efficacious enough 'to remove cascading effect of taxes and provide for common national market for goods and services'?",,,,,,,,,
GS2_2016_GovernmentPolicies_5,GS-II 2016 Q5,"Has the Indian governmental system responded adequately to the demands of Liberalization, Privatization and Globalization started in 1991? What can the government do to be responsive to this important change?",,,,,,,,,
GS2_2014_GovernmentPolicies_6,GS-II 2014 Q6,"Though 100 percent FDI is already allowed in non-news media like a trade publication and general entertainment channel, the Government is mulling over the proposal for increased FDI in news media for quite some time. What difference would an increase in FDI make? Critically evaluate the pros and cons. ASPECTS OF GOVERNANCE; TRANSPARENCY AND ACCOUNTABILITY (INSTITUTIONAL AND OTHER MEASURES); CITIZENS CHARTER; E-GOVERNANCE (APPLICATIONS, MODELS, SUCCESSES, LIMITATIONS, POTENTIAL)",,,,,,,,,
GS2_2022_DevelopmentProcesses_1,GS-II 2022 Q1,Do you agree with the view that increasing dependence on donor agencies for development reduces the importance of community participation in the development process? Justify your answer.,,,,,,,,,
GS2_2021_DevelopmentProcesses_2,GS-II 2021 Q2,Can Civil Society and Non-Governmental Organizations present an alternative model of public service delivery to benefit the common citizen. Discuss the challenges of this alternative model.,,,,,,,,,
GS2_2021_DevelopmentProcesses_3,GS-II 2021 Q3,"""Pressure groups play a vital role in influencing public policy making in India."" Explain how the business associations contribute to public policies.",,,,,,,,,
GS2_2020_DevelopmentProcesses_4,GS-II 2020 Q4,"""Institutional quality is a crucial driver of economic performance"". In this context suggest reforms in Civil Service for strengthening democracy.",,,,,,,,,
GS2_2019_DevelopmentProcesses_5,GS-II 2019 Q5,What are the methods used by the Farmers organizations to influence the policy- makers in India and how effective are these methods?,,,,,,,,,
GS2_2017_DevelopmentProcesses_6,GS-II 2017 Q6,"Initially Civil Services in India were designed to achieve the goals of neutrality and effectiveness, which seems to be lacking in the present context. Do you agree with the view that drastic reforms are required in Civil Services? Comment",,,,,,,,,
GS2_2017_DevelopmentProcesses_7,GS-II 2017 Q7,'The emergence of Self-Help Groups (SHGs) in contemporary times points to the slow but steady withdrawal of the state from developmental activities. Examine the role of the SHGs in developmental activities and the measures taken by the Government of India to promote the SHGs.,,,,,,,,,
GS2_2017_DevelopmentProcesses_8,GS-II 2017 Q8,How do pressure groups influence Indian political process? Do you agree with this view that informal pressure groups have emerged as powerful than formal pressure groups in recent years?,,,,,,,,,
GS2_2016_DevelopmentProcesses_9,GS-II 2016 Q9,"""In the Indian governance system, the role of non-state actors has been only marginal."" Critically examine this statement.",,,,,,,,,
GS2_2016_DevelopmentProcesses_10,GS-II 2016 Q10,"""Traditional bureaucratic structure and culture have hampered the process of socio-economic development in India."" Comment.",,,,,,,,,
GS2_2015_DevelopmentProcesses_11,GS-II 2015 Q11,"Examine critically the recent changes in the rules governing foreign funding of NGOs under the Foreign Contribution (Regulation) Act (FCRA), 1976.",,,,,,,,,
GS2_2015_DevelopmentProcesses_12,GS-II 2015 Q12,"The Self-Help Group (SHG) Bank Linkage Programme (SBLP), which is India's own innovation, has proved to be one of the most effective poverty alleviation and women empowerment programmes. Elucidate.",,,,,,,,,
GS2_2015_DevelopmentProcesses_13,GS-II 2015 Q13,How can the role of NGOs be strengthened in India for development works relating to protection of the environment? Discuss throwing light on the major constraints.,,,,,,,,,
GS2_2014_DevelopmentProcesses_14,GS-II 2014 Q14,Has the Cadre based Civil Services Organisation been the cause of slow change in India? Critically examine.,,,,,,,,,
GS2_2014_DevelopmentProcesses_15,GS-II 2014 Q15,The penetration of Self-Help Groups (SHGs) in rural areas in promoting participation in development programmes is facing socio-cultural hurdles. Examine.,,,,,,,,,
GS2_2013_DevelopmentProcesses_16,GS-II 2013 Q16,"The legitimacy and accountability of Self-Help Groups (SHGs) and their patrons, the micro-finance outfits, need systematic assessment and scrutiny for the sustained success of the concept. Discuss.",,,,,,,,,
GS2_2013_DevelopmentProcesses_17,GS-II 2013 Q17,"Pressure group politics is sometimes seen as the informal face of politics. With regards to the above, assess the structure and functioning of pressure groups in India.",,,,,,,,,
GS2_2022_IndiaAnd_1,GS-II 2022 Q1,'India is an age-old friend of Sri Lanka'. Discuss India's role in the recent crisis in Sri Lanka in light of the preceding statement.,,,,,,,,,
GS2_2014_IndiaAnd_2,GS-II 2014 Q2,"""Increasing cross-border terrorist attacks in India and growing interference in the internal affairs of several member-states by Pakistan are not conducive for the future of SAARC (South Asian Association for Regional Cooperation)."" Explain with suitable examples",,,,,,,,,
GS2_2013_IndiaAnd_3,GS-II 2013 Q3,Project `Mausam' is considered a unique foreign policy initiative of the Indian Government to improve relationship with its neighbors. Does the project have a strategic dimension? Discuss.,,,,,,,,,
GS2_2013_IndiaAnd_4,GS-II 2013 Q4,Terrorist activities and mutual distrust have clouded India-Pakistan relations. To what extent the use of soft power like sports and cultural exchanges could help generate goodwill between the two countries? Discuss with suitable examples.,,,,,,,,,
GS2_2013_IndiaAnd_5,GS-II 2013 Q5,"With respect to the South China sea, maritime territorial disputes and rising tension affirm the need for safeguarding maritime security to ensure freedom of navigation and over flight throughout the region. In this context, discuss the bilateral issues between India and China.",,,,,,,,,
GS2_2013_IndiaAnd_6,GS-II 2013 Q6,"'China is using its economic relations and positive trade surplus as tools to develop potential military power status in Asia', In the light of this statement, discuss its impact on India as her neighbor",,,,,,,,,
GS2_2013_IndiaAnd_7,GS-II 2013 Q7,The proposed withdrawal of International Security Assistance Force (ISAF) from Afghanistan in 2014 is fraught with major security implications for the countries of the region. Examine in light of the fact that India is faced with a plethora of challenges and needs to safeguard its own strategic interests.,,,,,,,,,
GS2_2013_IndiaAnd_8,GS-II 2013 Q8,What do you understand by 'The String of Pearls'? How does it impact India? Briefly outline the steps taken by India to counter this.,,,,,,,,,
GS2_2013_IndiaAnd_9,GS-II 2013 Q9,The protests in Shahbag Square in Dhaka in Bangladesh reveal a fundamental split in society between the nationalists and Islamic forces. What is its significance for India?,,,,,,,,,
GS2_2022_EffectOf_1,GS-II 2022 Q1,"How will I2U2 (India, Israel, UAE and USA) grouping transform India's position in global politics?",,,,,,,,,
